profile,favorites_anime
Shaggy-FOO,"['16', '1689', '245', '205', '1']"
PoeticJustice,"['33', '1488', '85', '457', '1089', '26', '44']"
Nezon,"['1689', '5941', '5040', '245', '60']"
vasili101,"['30', '9756', '7785', '440', '32', '9260', '22135', '6594', '25835', '3785']"
Xerxes4158,"['5365', '2001', '16', '1689', '4177']"
kiriska,"['1575', '93', '18507', '5114', '23289', '2001', '457', '853']"
Faust721,"['37521', '39940', '38659', '37379', '40004', '38328']"
Dc4Vp,"['1210', '5781', '164', '2001', '226']"
jonathanlane,"['578', '1', '199', '160']"
yanmzry,"['11843', '2605', '6547', '918', '28025', '17074', '32937', '28977']"
TheLlama,"['6045', '1210', '10800', '13125', '4181']"
palladia,"['13125', '16067', '22789', '30503', '23289', '22265', '20583', '24833', '24439']"
StephenPatamon,"['11061', '9253', '1535', '8426', '1']"
TheBrainintheJar,"['874', '1138', '18679', '1', '3701']"
emberreviews,"['23273', '5114', '11061', '2251', '918', '30', '4181', '10087', '34034', '9756']"
Fishy-san,"['28927', '26243', '30503', '20507', '33506', '9919', '21']"
Digiomegamon,"['23755', '6547', '2904', '853', '552']"
teamaster,[]
Ashikaga,[]
Vegetable_Juice,[]
dragone66330,"['8861', '2904', '93', '4181', '29095']"
TylerMagus,"['9756', '918']"
Nerdo,"['57', '877', '6746', '322', '552']"
gogglemaster01,[]
spyrocoot,"['338', '440', '721', '9756', '10721', '18679', '2321', '1', '44', '457']"
Aburaishi,"['1535', '552', '4654', '2025']"
Ferien,"['813', '552', '1254', '136', '121']"
Objective,['28851']
Were_Vampire,"['861', '16498', '13601', '14345', '534']"
Zyro,"['30', '1', '2251', '3002', '457']"
Astamon,[]
Lil-Bird,"['4181', '18679', '934', '6', '2001', '21', '323', '121', '30', '182']"
CanAKATheIndigo,[]
Maneki-Mew,"['249', '4081', '34599', '9756', '13125', '164', '35062', '16498', '202', '37208', '30', '2966', '37520', '34712', '31646', '37786', '32949', '322', '877', '145']"
VegaMaruko,"['34134', '35839']"
f1ssure_,[]
HOOfan_1,[]
Carasas,['38145']
The-Observer95,"['12189', '5084', '35180', '31933', '33206', '21855', '339', '19', '17074', '387']"
Senayaa,"['33352', '37430', '35839']"
HaXXspetten,"['9756', '9253', '1575', '33674', '1889', '10271', '14397', '1535', '18617', '4181', '33049', '13663', '31240', '32281', '37779', '16067', '12029', '31043', '239', '12477']"
BFA91,[]
